"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"CLDN3",10450.6781462216,7.31854254817553,0.286605795324724,25.5352217839267,8.01327644171755e-144,1.56555381841836e-139,"CLDN3"
"HOXA10",682.431498369048,4.85082895651976,0.295525261457582,16.4142616187687,1.51209131953118e-60,1.47708640548403e-56,"HOXA10"
"SLC6A8",5698.83336247668,3.38272151745256,0.212359065644407,15.9292541017151,3.97065314220501e-57,2.58582168130864e-53,"SLC6A8"
"TXNRD3",353.304196912937,2.28167186736684,0.154552258219053,14.7631092140558,2.53327562120462e-49,1.03555117117047e-45,"TXNRD3"
"KCNK15",513.634997174336,5.41054798318313,0.366566663418365,14.76006555732,2.65023077025764e-49,1.03555117117047e-45,"KCNK15"
"ERVMER34-1",371.06579627754,5.11125534057779,0.347240076586801,14.7196584876346,4.82088743353471e-49,1.56976129648279e-45,"ERVMER34-1"
"HYLS1",368.05086564453,2.12764016788089,0.146890363166716,14.4845456299001,1.51722621683462e-47,4.23457837118543e-44,"HYLS1"
"MFSD6L",195.174999982227,4.58995743185837,0.317463185388107,14.4582352950533,2.22427733644166e-47,5.43196329025759e-44,"MFSD6L"
"C5orf63",340.121455887741,2.29595354184166,0.160315716140157,14.3214501804327,1.60733790183279e-46,3.48917339867858e-43,"C5orf63"
"RCOR2",492.190200886111,3.20089091136674,0.228779714458807,13.9911482927525,1.76538316207181e-44,3.44902908373969e-41,"RCOR2"
"KCNH8",252.632032363195,4.56497111255885,0.33276575825135,13.7182717853763,7.89242676013817e-43,1.40176674193472e-39,"KCNH8"
"CDX1",3103.81997469235,6.12706811989488,0.455989574063085,13.4368601134885,3.67710934407102e-41,5.98664043792629e-38,"CDX1"
"GUCY2C",1896.2484499338,5.14590086838701,0.385470734334478,13.3496538388874,1.19000614152346e-40,1.78839615284183e-37,"GUCY2C"
"ALG1L",85.3297583243101,3.7134137892728,0.279290131140748,13.2959004820741,2.44511689447444e-40,3.41216062623909e-37,"ALG1L"
"KLHL35",297.673692666609,3.28568713922858,0.247248034301182,13.2890324022806,2.68021670569735e-40,3.49089291861394e-37,"KLHL35"
"ZIC5",275.503809240876,6.25190815553857,0.470905907831614,13.2763425804675,3.17528508661708e-40,3.87722154607737e-37,"ZIC5"
"PRAME",812.097488027105,6.392340363245,0.484385024248668,13.1968166711186,9.15215897469136e-40,1.05179841110909e-36,"PRAME"
"ESYT3",279.668662165804,3.24277565547205,0.246688137531813,13.1452435772428,1.81221026470838e-39,1.96695288564486e-36,"ESYT3"
"BCL2L10",85.1917368292942,4.99399060815491,0.382048088068341,13.071628321463,4.78305970907185e-39,4.9182440808493e-36,"BCL2L10"
"TPD52L1",731.778455010394,3.61766564350936,0.279610434616842,12.93823547203,2.73847063523489e-38,2.6750750400292e-35,"TPD52L1"
"GGACT",393.947098554954,1.93823782449173,0.150455794922183,12.8824404902065,5.65196370497526e-38,5.25821023352865e-35,"GGACT"
"ECHDC2",2212.35110019296,1.82860013869516,0.142999316964825,12.7874746362947,1.92632196842147e-37,1.71066146804774e-34,"ECHDC2"
"SLC22A3",978.070124802326,3.57393752023356,0.280612162133469,12.7362174649211,3.71997582416952e-37,3.15987685551304e-34,"SLC22A3"
"TM4SF20",2328.51619233128,5.88808874336378,0.463484641099257,12.7039565526894,5.62142154634299e-37,4.57607136462096e-34,"TM4SF20"
"PRSS21",747.942887020465,5.68934573351459,0.453608408624922,12.5424168188623,4.37447768042862e-36,3.41856681770136e-33,"PRSS21"
"BMP8B",634.293305445828,2.21542079118434,0.178358724477938,12.4211517976984,2.00651704316941e-35,1.49488197519558e-32,"BMP8B"
"RIMKLA",671.877190882142,3.03579589501112,0.244451278754811,12.418817813001,2.06591663665254e-35,1.49488197519558e-32,"RIMKLA"
"F12",468.48269589947,2.94060729380741,0.237136856770529,12.4004650051213,2.59811475676614e-35,1.81283457153358e-32,"F12"
"SLC6A20",2286.55933042313,4.10492375114109,0.331862907333814,12.3693358324377,3.8297499651832e-35,2.58006293344084e-32,"SLC6A20"
"HOXA9",223.518804540323,4.87627611908441,0.395218195950132,12.3381872824997,5.64116525963152e-35,3.67371485591404e-32,"HOXA9"
"FAM131C",85.7795045340771,4.65240125622134,0.380087727376282,12.2403353781942,1.89249014155842e-34,1.19269612566538e-31,"FAM131C"
"TTLL2",49.9153987761112,4.16464875429423,0.341520698447719,12.1944256181936,3.3284259588176e-34,2.03210806116936e-31,"TTLL2"
"DUOX2",12311.4467606849,5.31567630545225,0.436039315329023,12.1908188518304,3.47907832743099e-34,2.05971979645513e-31,"DUOX2"
"FBXO2",1001.05110163134,4.16186689506043,0.341648505364756,12.1817213589653,3.88984270297941e-34,2.23517226141496e-31,"FBXO2"
"DPP4",2944.17997202109,3.29071194682477,0.270262627686609,12.175978510209,4.17358509960946e-34,2.329695202602e-31,"DPP4"
"ENTPD8",762.034826493322,4.4637366094112,0.368382964791125,12.1171091935322,8.57299511607817e-34,4.65251682174498e-31,"ENTPD8"
"SMIM32",267.487875687228,5.09453523740533,0.421529448321675,12.0858347090323,1.25489207455072e-33,6.62616931364796e-31,"SMIM32"
"FABP1",3082.22156042029,6.53951856796825,0.546043064104606,11.9761956480331,4.73560786489016e-33,2.43472554885155e-30,"FABP1"
"LRRC75B",768.362968412921,2.325005011079,0.194367604479209,11.9618956940311,5.62626334230306e-33,2.81846940816858e-30,"LRRC75B"
"HOXC12",420.389642684415,8.5449722358143,0.718371140962418,11.8949269375805,1.25763032557731e-32,6.142580917701e-30,"HOXC12"
"RIBC2",149.983319310893,2.9849089653824,0.25180525763687,11.8540374946696,2.0506698544636e-32,9.77169193820861e-30,"RIBC2"
"MLYCD",911.564472363559,1.22712222600218,0.104494780617591,11.7433829589342,7.63693046379701e-32,3.55244548740957e-29,"MLYCD"
"C9orf24",89.6039074067386,3.47172101008893,0.296247939137844,11.7189710085158,1.01902197298722e-31,4.62991448517473e-29,"C9orf24"
"SCNN1A",8403.48743780559,3.21399330935455,0.27494240864766,11.6896964901231,1.43899934245075e-31,6.38948412578643e-29,"SCNN1A"
"GOLT1A",497.613212410143,3.18681217191377,0.273196532762632,11.6649070897347,1.9261324859214e-31,8.36241119498808e-29,"GOLT1A"
"C2CD4B",966.287419677645,3.25424853242327,0.279404056046882,11.6471055519582,2.37385325510035e-31,1.00821676184556e-28,"C2CD4B"
"HOXA11",289.448590456952,4.31324869059833,0.370753406310413,11.6337398852839,2.77660330550483e-31,1.15418082509889e-28,"HOXA11"
"CACNG4",370.934739547752,5.14729596732822,0.443993289179117,11.593184160159,4.46229359374621e-31,1.81624645710458e-28,"CACNG4"
"DUOXA2",1685.23471565068,5.4846235521315,0.473667346718605,11.5790619516565,5.26186701496945e-31,2.0979815483971e-28,"DUOXA2"
"WDR72",1902.74762827194,4.10042654463673,0.355233258938515,11.5429128367354,8.01638092443703e-31,3.13232068241452e-28,"WDR72"
"NKD2",726.681623739216,3.91348733748593,0.339739934353637,11.5190677979362,1.05748854100819e-30,4.05101051483865e-28,"NKD2"
"PAX6",119.008546432231,4.84736655789411,0.421527376752258,11.4995296278064,1.32636261173613e-30,4.98329737413247e-28,"PAX6"
"NMNAT3",446.619367132989,2.28214023619179,0.19849925063996,11.4969715443972,1.3662544700874e-30,5.03632331737691e-28,"NMNAT3"
"AC005551.1",50.1819725029235,3.66272372999696,0.319121302776156,11.4775281315711,1.71102438872481e-30,6.19042286713271e-28,"AC005551.1"
"LEFTY1",361.887106344758,6.16366554402143,0.544404903057416,11.3218406179038,1.02301128236958e-29,3.58021298961477e-27,"LEFTY1"
"CT83",262.870592390354,6.37516705547688,0.563099382224901,11.3215664174369,1.02621655022996e-29,3.58021298961477e-27,"CT83"
"NOL3",858.180612001936,1.59296659707251,0.140778149152631,11.315439268529,1.10049726795304e-29,3.77200265333309e-27,"NOL3"
"DUSP9",104.919958583408,5.57109649419913,0.492442379170207,11.3131946596204,1.12902424282823e-29,3.80305976416121e-27,"DUSP9"
"PRXL2A",3353.40414804617,1.93531880698922,0.171126062101633,11.3093165542477,1.18005103945675e-29,3.90756900980787e-27,"PRXL2A"
"STYXL2",399.251708889402,7.12299465535746,0.631655154236631,11.2767142127824,1.71014778255975e-29,5.56852620464497e-27,"STYXL2"
"PCLO",743.331126227178,4.27840461529659,0.380890752492136,11.2326292704755,2.81961075239963e-29,9.03061233928387e-27,"PCLO"
"PRSS51",108.857040808566,4.0021402550575,0.356833531699124,11.2157067638813,3.41447773850123e-29,1.07594599317901e-26,"PRSS51"
"NINL",987.30983041234,2.67301159990299,0.238729326065206,11.1968296646256,4.22586968372223e-29,1.31048914302986e-26,"NINL"
"CDH17",13476.8827483481,4.19426766317625,0.375302218779798,11.1757070789852,5.36216179531093e-29,1.63688367179671e-26,"CDH17"
"FAM3B",1884.63839392365,3.98606726637097,0.357140971257409,11.1610472815173,6.32421381169436e-29,1.90086408060112e-26,"FAM3B"
"TMEM151A",368.215402057159,4.22317022054125,0.378725227891397,11.1510137416889,7.07951698631556e-29,2.09564429335829e-26,"TMEM151A"
"SLC34A2",1221.60358352131,4.97782681276965,0.446578274398726,11.146594221297,7.43998122689713e-29,2.16947631686402e-26,"SLC34A2"
"GPR158",314.725180261873,3.82559533922154,0.343812778063575,11.1269725365302,9.27317042580137e-29,2.66426368542473e-26,"GPR158"
"TDRD5",219.360119618518,3.79665058294629,0.342711831925667,11.0782594274999,1.59951788272655e-28,4.52895374997515e-26,"TDRD5"
"TMEM52",394.365660667283,2.81628407261618,0.25446091322007,11.0676490034464,1.80062567260412e-28,5.02554625223809e-26,"TMEM52"
"ZNF480",1396.00534686928,1.63989849259711,0.148492496108071,11.0436455415472,2.35289151526225e-28,6.47442838502514e-26,"ZNF480"
"MEP1A",1406.95100510895,5.2836461758528,0.478519886236687,11.0416438852855,2.40590706577938e-28,6.52836199224053e-26,"MEP1A"
"C1orf115",1574.18745444148,2.23528205906894,0.202466033932203,11.040281748283,2.44266027064614e-28,6.53729502844022e-26,"C1orf115"
"IGF2BP1",1201.62572908498,5.99920295082698,0.544657326620929,11.0146373831896,3.24841978463034e-28,8.57626720707066e-26,"IGF2BP1"
"KRT7",9178.73485371015,4.2810646680079,0.38914447275106,11.0012218283428,3.76988888194148e-28,9.82030921153209e-26,"KRT7"
"TM6SF2",152.030232191887,3.90531988906159,0.355065227566845,10.998880165832,3.86906714330152e-28,9.94604799719498e-26,"TM6SF2"
"PROC",293.129506958105,3.49482932342519,0.31815994446008,10.9845044427448,4.53721787383544e-28,1.1512159168977e-25,"PROC"
"LTK",443.60608690028,3.39421816900229,0.30945698362848,10.9683036692338,5.42811907464425e-28,1.35960464565801e-25,"LTK"
"WNT11",660.479332623146,4.85906204493281,0.443230969115207,10.9628216066053,5.76726823222483e-28,1.4262673348478e-25,"WNT11"
"LRRN1",619.362378621569,4.42481173364783,0.406427932465567,10.8870758631303,1.32837117428961e-27,3.24404845401202e-25,"LRRN1"
